,Date,Heure,Prix,Consommation,Production,Export
21,2021-01-01,21,43.32483491602769,58914.01154942244,"              techno        Volume     Prix
0             eolien  1.429908e+03        0
1            solaire  0.000000e+00        0
2            fil_eau  3.385136e+03        0
3       cogeneration  3.342373e+03        0
4          nucleaire  5.207174e+04        8
10  interconnexion_1  3.000000e+03  24.9697
9            charbon  2.000000e+03  28.0412
12  interconnexion_3  7.275958e-12  44.2353
5                lac  0.000000e+00       50
6               ccgt  0.000000e+00   56.073
11  interconnexion_2  0.000000e+00  61.5819
7            tac gaz  0.000000e+00  89.0422
13  interconnexion_4  0.000000e+00  191.513
8          tac fioul  0.000000e+00  206.435",6315.150298202003
22,2021-01-01,22,44.22904364549531,61913.48910752626,"              techno        Volume     Prix
0             eolien   1253.367945        0
1            solaire      0.000000        0
2            fil_eau   3348.518392        0
3       cogeneration   3342.373216        0
4          nucleaire  52158.117969        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3   2811.111586  44.2353
5                lac      0.000000       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6000.0
23,2021-01-01,23,44.22664514963802,61626.64745020524,"              techno        Volume     Prix
0             eolien   1200.340335        0
1            solaire      0.000000        0
2            fil_eau   3297.829500        0
3       cogeneration   3340.245567        0
4          nucleaire  52049.075339        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3   2739.156710  44.2353
5                lac      0.000000       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",5999.999999999993
24,2021-01-02,0,60.668304832356085,66779.99207356275,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1152.12        0
3       cogeneration  951.874        0
4          nucleaire  53114.4        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  970.196       50
6               ccgt     6000   56.073
11  interconnexion_2        0  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",3408.6367193572223
25,2021-01-02,1,60.64088843499032,65712.42277419993,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1093.68        0
3       cogeneration   952.79        0
4          nucleaire  53108.3        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac   788.74       50
6               ccgt     6000   56.073
11  interconnexion_2        0  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",4231.128640330004
26,2021-01-02,2,56.07048916804181,63201.476232775734,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1063.21        0
3       cogeneration  952.266        0
4          nucleaire  52708.5        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  626.867       50
6               ccgt  5850.61   56.073
11  interconnexion_2        0  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",6000.0
27,2021-01-02,3,56.05457756271689,61641.333598596604,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  968.671        0
3       cogeneration  953.575        0
4          nucleaire  52176.1        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  647.075       50
6               ccgt  4895.91   56.073
11  interconnexion_2        0  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",5999.999999999993
28,2021-01-02,4,56.05433978142335,62406.68658894861,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  953.779        0
3       cogeneration  946.903        0
4          nucleaire  53038.7        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  585.618       50
6               ccgt  4881.64   56.073
11  interconnexion_2        0  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",6000.0
29,2021-01-02,5,60.62559157513844,65213.9621086886,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  996.425        0
3       cogeneration  944.024        0
4          nucleaire  53203.3        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  760.199       50
6               ccgt     6000   56.073
11  interconnexion_2        0  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",4690.034435886482
30,2021-01-02,6,61.53591007354725,68937.69877328599,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1048.77        0
3       cogeneration  938.399        0
4          nucleaire  53295.8        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac   1035.2       50
6               ccgt     6000   56.073
11  interconnexion_2  1619.52  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",3000.0
