"week","day","hour","techno","value"
4,4,21,"consommation",0.952167913053004
4,5,1,"consommation",0.915807949794061
4,5,3,"consommation",0.860484834923518
4,5,12,"consommation",1.05880495502645
4,5,20,"consommation",0.986250295964219
4,5,22,"consommation",0.978490439380023
4,6,0,"consommation",0.929570562868791
4,6,4,"consommation",0.883761680555374
4,6,7,"consommation",1.08883194270084
4,6,8,"consommation",1.09367818623142
4,6,14,"consommation",1.0033195485662
4,6,16,"consommation",0.99148172564097
4,6,18,"consommation",1.0733308974803
4,6,19,"consommation",1.02832619900872
4,6,20,"consommation",0.974022226395509
4,7,2,"consommation",0.939587993039803
4,7,3,"consommation",0.910118594324509
4,7,5,"consommation",0.932650773057797
4,7,7,"consommation",1.00711835544016
4,7,8,"consommation",1.04450747124408
4,7,10,"consommation",1.06343961146789
4,7,13,"consommation",1.01219811363313
4,7,14,"consommation",0.971356012207534
4,7,16,"consommation",0.95780784583833
4,7,19,"consommation",1.04024937106169
4,7,20,"consommation",0.996634403620503
4,1,3,"consommation",0.910651214170277
4,1,4,"consommation",0.902676674750164
4,1,6,"consommation",0.932421668113376
4,1,7,"consommation",0.956036862746773
4,1,9,"consommation",1.03249111580022
4,1,11,"consommation",1.06848096247509
4,1,12,"consommation",1.06082838251507
4,1,14,"consommation",0.962468317186951
4,1,15,"consommation",0.944833060273413
4,1,17,"consommation",1.04371328833287
4,1,18,"consommation",1.10170853234063
4,1,19,"consommation",1.08133420290319
4,1,20,"consommation",1.04011178986779
4,1,21,"consommation",1.01227341528931
4,2,6,"consommation",1.0267691342725
4,2,14,"consommation",1.00975761469155
49,7,12,"consommation",1.06300682238647
4,2,15,"consommation",0.99558901161154
49,7,13,"consommation",1.01935122449639
4,2,19,"consommation",1.06628628091086
49,7,15,"consommation",0.972329937059593
4,2,21,"consommation",0.968763053710475
49,7,16,"consommation",1.00606843177516
4,3,2,"consommation",0.87709058209076
4,3,3,"consommation",0.857639909766621
49,7,19,"consommation",1.05161757934712
49,7,23,"consommation",1.02159129153446
4,3,8,"consommation",1.08943363521063
49,1,1,"consommation",0.98216902694443
4,3,10,"consommation",1.077519940019
49,1,2,"consommation",0.934588437063025
49,1,4,"consommation",0.893730507537555
4,3,12,"consommation",1.05911423975414
4,3,14,"consommation",1.0002604334501
49,1,7,"consommation",0.95306584964271
49,1,8,"consommation",0.990650997029563
49,1,9,"consommation",1.02788428247058
4,3,20,"consommation",0.98783565653182
4,3,21,"consommation",0.952874287376257
49,1,12,"consommation",1.06077055824296
49,1,14,"consommation",0.965868031963512
4,3,22,"consommation",0.97952487632227
5,4,0,"consommation",0.906763257106597
49,1,15,"consommation",0.953206827442203
5,4,1,"consommation",0.894203255601596
5,4,2,"consommation",0.857581257958004
5,4,4,"consommation",0.854548725485856
49,2,2,"consommation",0.837863347564261
