"week","day","techno","ecart_type","moyenne"
40,7,"lac",419.05392602267,1424.62797619048
40,7,"cogeneration",75.3903526618022,1483.8869047619
40,7,"nucleaire",3388.64460789637,38528.4702380952
41,1,"consommation",1668.96181121751,42682.4017857143
41,1,"eolien",2041.45131963285,3134.42857142857
41,1,"solaire",337.183953499941,999.095238095238
41,1,"fil_eau",917.712402000782,2482.78273809524
41,1,"lac",338.862242113652,934.83630952381
41,1,"cogeneration",71.8628727979371,1404.29464285714
41,1,"nucleaire",1673.04860199218,38643.8720238095
41,2,"consommation",2212.9987169032,50849.6785714286
41,2,"eolien",1229.85707548991,1856.54464285714
41,2,"solaire",345.766961711703,962.604166666667
41,2,"fil_eau",1016.8166718535,2881.83035714286
41,2,"lac",456.367580431515,2242.19642857143
41,2,"cogeneration",101.224665632317,1443.78869047619
41,2,"nucleaire",3063.77809261194,40856.0982142857
41,3,"consommation",2564.35045953705,51777.7142857143
41,3,"eolien",3322.41369479519,3765.78571428571
41,3,"solaire",394.083425637813,915.113095238095
41,3,"fil_eau",1007.49012205785,2826.19642857143
41,3,"lac",467.238096546169,2278.44047619048
41,3,"cogeneration",72.4780782117133,1421.52380952381
41,3,"nucleaire",3571.42785979408,40342.4017857143
41,4,"consommation",2599.97391264941,51306.068452381
41,4,"eolien",1727.63186091546,4319.69047619048
41,4,"solaire",250.795124566744,906.747023809524
41,4,"fil_eau",1279.91937334553,3068.72023809524
41,4,"lac",506.617996802515,2111.88392857143
41,4,"cogeneration",74.1243573029054,1451.14880952381
41,4,"nucleaire",2764.75253648947,40512.4196428571
41,5,"consommation",766.310289194525,50081.0297619048
41,5,"eolien",2201.59975334233,3853.68154761905
41,5,"solaire",326.42572725662,1014.89285714286
41,5,"fil_eau",1179.07234229979,3096.67857142857
41,5,"lac",481.369001318864,2017.28273809524
41,5,"cogeneration",76.1105014331537,1467.32142857143
41,5,"nucleaire",3363.47340063179,39828.5029761905
41,6,"consommation",1161.01406486435,49508.681547619
41,6,"eolien",2124.93761958121,2538.38988095238
41,6,"solaire",427.306106847585,1124.57142857143
41,6,"fil_eau",1196.4349664946,3054.20833333333
41,6,"lac",772.7137685463,2109.31845238095
41,6,"cogeneration",93.0349853256486,1496.96428571429
41,6,"nucleaire",3387.55914355743,39809.1666666667
41,7,"consommation",1577.91705912374,44422.8690476191
41,7,"eolien",1763.09138907141,3048.00892857143
41,7,"solaire",284.691526231991,1112.44047619048
41,7,"fil_eau",1026.65920754206,2736.76488095238
41,7,"lac",220.499379865713,1098.97321428571
41,7,"cogeneration",74.6470435689939,1448.6130952381
41,7,"nucleaire",2486.07904807044,38855.9880952381
42,1,"consommation",4094.80897397394,43945.7738095238
42,1,"eolien",1811.21076054265,2685.13392857143
42,1,"solaire",420.881894323195,900.047619047619
42,1,"fil_eau",961.436998808852,2577.18154761905
42,1,"lac",455.194110030779,1190.39583333333
42,1,"cogeneration",91.5337853605643,1493.90773809524
42,1,"nucleaire",3787.55995231245,39804.6458333333
42,2,"consommation",4215.18280916577,50820.9642857143
42,2,"eolien",1893.40378859433,2798.24107142857
42,2,"solaire",297.242152770149,892.047619047619
42,2,"fil_eau",775.251700451799,2683.78273809524
42,2,"lac",720.267626516036,2182.27678571429
